"","PN01142MM"
"","Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100)"
Ene15,13669.78
Feb15,13397.42
Mar15,12461.81
Abr15,13366.86
May15,13180.61
Jun15,13113.17
Jul15,11987.88
Ago15,10340.55
Sep15,10030.57
Oct15,10545.69
Nov15,10226.89
Dic15,9848.59
Ene16,9391.84
Feb16,10742.19
Mar16,12057.93
Abr16,13702.47
May16,13535.97
Jun16,13856.9
Jul16,15210.97
Ago16,15130.24
Sep16,15296.98
Oct16,15171.04
Nov16,15414.97
Dic16,15566.96
Ene17,15983.95
Feb17,15766.12
Mar17,15757.01
Abr17,15559.3
May17,16000.08
Jun17,16132.87
Jul17,16750.17
Ago17,17616.44
Sep17,18087.42
Oct17,19874.12
Nov17,19722.18
Dic17,19974.38
Ene18,21068.89
Feb18,20831.78
Mar18,20558.84
Abr18,21428.86
May18,20814.29
Jun18,19800.26
Jul18,20485.72
Ago18,19443.11
Sep18,19564.07
Oct18,18909.4
Nov18,19180.97
Dic18,19350.4
Ene19,20190.87
Feb19,20614.45
Mar19,21098.07
Abr19,20896.5
May19,19922.77
Jun19,20622.79
Jul19,19957.26
Ago19,19106.75
Sep19,19602.71
Oct19,19904.87
Nov19,20078
Dic19,20526.13
Ene20,19834.9
Feb20,18264.3
Mar20,14463.96
Abr20,14779.28
May20,15580.85
Jun20,16878
Jul20,17512.53
Ago20,18576.89
Sep20,17948.78
Oct20,17472.2
Nov20,19796.51
Dic20,20822.15
Ene21,21110.22
Feb21,22530.22
Mar21,21372.03
Abr21,19562.77
May21,21041.71
Jun21,18850.91
Jul21,17671.77
Ago21,17653.54
Sep21,18279.15
Oct21,20737.77
Nov21,20416.43
Dic21,21111.73
Ene22,22943.81
Feb22,23749.03
Mar22,24915.5
Abr22,22818.9
May22,20719.04
Jun22,18388.82
Jul22,19293.66
Ago22,18853.05
Sep22,19448.06
Oct22,21095.21
Nov22,22455.13
Dic22,21330.33
Ene23,22416.72
Feb23,21576.43
Mar23,21898.03
Abr23,21822.57
May23,21178.83
Jun23,22329.75
Jul23,23509.38
Ago23,23133.53
Sep23,22528.4
Oct23,21817.42
Nov23,21934.44
Dic23,25960.01
Ene24,26934
Feb24,28231.83
Mar24,28366.99
Abr24,29184.35
May24,30220.4
Jun24,29895.87
Jul24,29537.12
Ago24,28441.73
Sep24,29942.23
Oct24,30470.47
Nov24,29485.3
Dic24,28960.95
