"","PN01273PM"
"","Índice de precios Lima Metropolitana (var% 12 meses) - IPC"
Ene15,3.07326326860977
Feb15,2.76858517072284
Mar15,3.02019928834408
Abr15,3.0174126785349
May15,3.36620186894155
Jun15,3.54491029740405
Jul15,3.56292547971011
Ago15,4.0426728422815
Sep15,3.90455488298777
Oct15,3.66020462128904
Nov15,4.17256708018865
Dic15,4.39792854166932
Ene16,4.60868784321291
Feb16,4.47375701506678
Mar16,4.30108051334928
Abr16,3.9072132668403
May16,3.54061765756533
Jun16,3.34161872071432
Jul16,2.96195894036733
Ago16,2.94253095758978
Sep16,3.12667111206595
Oct16,3.40528775471299
Nov16,3.34963245522741
Dic16,3.23488195037019
Ene17,3.09636415923956
Feb17,3.24979324559658
Mar17,3.97485445147011
Abr17,3.69471572141791
May17,3.03980253604198
Jun17,2.73244391775147
Jul17,2.85206926625983
Ago17,3.1738100701898
Sep17,2.94499513550225
Oct17,2.04014312278334
Nov17,1.5443382320383
Dic17,1.36485588371446
Ene18,1.25318836941743
Feb18,1.17956124835664
Mar18,0.363136029353744
Abr18,0.48486988623302
May18,0.930692513230167
Jun18,1.42933403390647
Jul18,1.61610098729974
Ago18,1.07057542660273
Sep18,1.28028100935954
Oct18,1.84089384430844
Nov18,2.16709746401055
Dic18,2.1925231538682
Ene19,2.12915785051415
Feb19,2.00338485500231
Mar19,2.24744059848037
Abr19,2.59264472909832
May19,2.72512754617208
Jun19,2.29478053967056
Jul19,2.11191328006436
Ago19,2.03972339384534
Sep19,1.85100693723761
Oct19,1.88056226356924
Nov19,1.86679694871124
Dic19,1.90009157916248
Ene20,1.88835605229068
Feb20,1.90403776113918
Mar20,1.82153296943842
Abr20,1.72448975655499
May20,1.7819197522911
Jun20,1.59873239164688
Jul20,1.8616957242678
Ago20,1.68739824186658
Sep20,1.81955390705632
Oct20,1.72400036113651
Nov20,2.14220969430481
Dic20,1.97323222946074
Ene21,2.67554538350913
Feb21,2.4013422122209
Mar21,2.59818523324116
Abr21,2.38369772363027
May21,2.44745902560864
Jun21,3.25460667105263
Jul21,3.81459906516264
Ago21,4.95280459648037
Sep21,5.22957455422953
Oct21,5.82600992647617
Nov21,5.65514784662318
Dic21,6.43038716340725
Ene22,5.68491659367423
Feb22,6.1470442223465
Mar22,6.82408900736014
Abr22,7.96465277256915
May22,8.09113893196794
Jun22,8.81263294388897
Jul22,8.74083491516008
Ago22,8.39798830340194
Sep22,8.52985253634929
Oct22,8.27519462737062
Nov22,8.44722980234022
Dic22,8.45916200000001
Ene23,8.66426700097408
Feb23,8.64592356025242
Mar23,8.40057400933134
Abr23,7.9650458305066
May23,7.89388564823743
Jun23,6.46149699198863
Jul23,5.88160145590039
Ago23,5.57614720330122
Sep23,5.04454594794186
Oct23,4.34308132283159
Nov23,3.63647512169549
Dic23,3.23738256432406
Ene24,3.02392174826855
Feb24,3.29406696032184
Mar24,3.04504592593905
Abr24,2.42207617792805
May24,2.00493835958688
Jun24,2.28538225698791
Jul24,2.1276637869709
Ago24,2.03409700303861
Sep24,1.77501053596859
Oct24,2.00918040984485
Nov24,2.27199072148831
Dic24,1.96630270142824
