"","PN01728AM"
"","Producto bruto interno y demanda interna (variación porcentual interanual) - PBI"
Ene15,1.56136358915759
Feb15,1.23388126064694
Mar15,2.93665474858285
Abr15,4.19794818546887
May15,1.28309781637366
Jun15,4.08528897300896
Jul15,3.6026076494788
Ago15,2.66923547239169
Sep15,3.18787435681926
Oct15,3.27340738963831
Nov15,3.94192918416766
Dic15,6.50666594589828
Ene16,3.54106918565921
Feb16,6.42436424063352
Mar16,3.54943009640928
Abr16,2.76649644631605
May16,4.87354166133383
Jun16,3.57856192532618
Jul16,3.5806058935264
Ago16,5.77374776898336
Sep16,4.50896759771932
Oct16,2.18070651797265
Nov16,3.51814265284628
Dic16,3.47934319036375
Ene17,5.0161196847447
Feb17,0.787336790225592
Mar17,1.16368807809074
Abr17,0.312065618862222
May17,3.65837027081195
Jun17,3.97008503588081
Jul17,2.23018350296858
Ago17,2.86046823334464
Sep17,3.35313520809689
Oct17,3.60983662381526
Nov17,2.03231250032204
Dic17,1.41910512381518
Ene18,2.87263620479195
Feb18,2.71465973683955
Mar18,3.88190139804268
Abr18,8.08471479620268
May18,6.7076645168244
Jun18,2.07212062950459
Jul18,2.60726697256618
Ago18,2.3202393668871
Sep18,2.39007236411026
Oct18,4.08385251935094
Nov18,5.05907549851974
Dic18,4.70774868643071
Ene19,1.68079816023762
Feb19,2.08026840791604
Mar19,3.38390838593433
Abr19,-0.00546786357340024
May19,0.687816757220669
Jun19,2.81717151470928
Jul19,3.92945458348875
Ago19,3.71499853126122
Sep19,2.53197010153893
Oct19,2.70921406552494
Nov19,2.3136400667599
Dic19,1.24459467619093
Ene20,3.30823508420564
Feb20,4.58649845573613
Mar20,-17.5994462774413
Abr20,-39.271490526951
May20,-32.7221279456914
Jun20,-18.0995452658731
Jul20,-11.0167981531469
Ago20,-9.16533791035743
Sep20,-5.86990903175572
Oct20,-3.26064034846756
Nov20,-2.11763979294088
Dic20,1.01601312464464
Ene21,-1.01625723101144
Feb21,-3.84592091836893
Mar21,19.8308394912524
Abr21,59.8391270084497
May21,48.5462382850229
Jun21,23.3658392152487
Jul21,13.239457733128
Ago21,11.9301435096934
Sep21,9.9574403679769
Oct21,4.71151942749688
Nov21,3.68629041442385
Dic21,1.98542452349379
Ene22,3.04229699620743
Feb22,4.8189997502382
Mar22,3.8839112656375
Abr22,4.03900186224232
May22,2.53775657176422
Jun22,3.71946749001393
Jul22,1.98882484832674
Ago22,2.00208652597161
Sep22,2.15568018642499
Oct22,2.60545169870225
Nov22,2.20466838854037
Dic22,1.30344914909662
Ene23,-0.655654849997502
Feb23,-0.530111492622121
Mar23,0.74602606479144
Abr23,0.630680407329717
May23,-1.23709830141153
Jun23,-0.730148773732199
Jul23,-1.03889927995913
Ago23,-0.0228266727019409
Sep23,-0.986818426138518
Oct23,-0.743073935847397
Nov23,0.674566770249991
Dic23,-0.828552713165032
Ene24,1.51944263812332
Feb24,3.12864953640116
Mar24,-0.392442041722411
Abr24,5.49927363764844
May24,5.29475142503551
Jun24,0.254284447326393
Jul24,4.62741479667111
Ago24,3.75467560706095
Sep24,3.28690100541269
Oct24,3.64528892679019
Nov24,4.14762070799021
Dic24,4.85000663266738
