"","PN07819NM"
"","Tasas de interés activas y pasivas promedio de las empresas bancarias en MN (términos efectivos anuales) - Tasa Interbancaria Promedio"
Ene15,3.3439
Feb15,3.4305
Mar15,3.3527
Abr15,3.5151
May15,3.4798
Jun15,3.4243
Jul15,3.4638
Ago15,3.6141
Sep15,3.6609
Oct15,3.521
Nov15,3.5
Dic15,3.765
Ene16,3.973
Feb16,4.5857
Mar16,4.8352
Abr16,4.4641
May16,4.4392
Jun16,4.3666
Jul16,4.2855
Ago16,4.1886
Sep16,4.2501
Oct16,4.2555
Nov16,4.2852
Dic16,4.374
Ene17,4.2517
Feb17,4.249
Mar17,4.2453
Abr17,4.2922
May17,4.0746
Jun17,4.002
Jul17,3.8392
Ago17,3.7296
Sep17,3.612
Oct17,3.5012
Nov17,3.3541
Dic17,3.2568
Ene18,3.0962
Feb18,3.0108
Mar18,2.8079
Abr18,2.7517
May18,2.7579
Jun18,2.7849
Jul18,2.7428
Ago18,2.7502
Sep18,2.7462
Oct18,2.7694
Nov18,2.7525
Dic18,2.7544
Ene19,2.752
Feb19,2.7514
Mar19,2.7542
Abr19,2.7524
May19,2.7504
Jun19,2.7923
Jul19,2.7527
Ago19,2.5642
Sep19,2.5038
Oct19,2.5045
Nov19,2.2984
Dic19,2.2501
Ene20,2.249
Feb20,2.2433
Mar20,1.8384
Abr20,0.6135
May20,0.2414
Jun20,0.169
Jul20,0.1752
Ago20,0.1674
Sep20,0.1106
Oct20,0.2489
Nov20,0.1883
Dic20,0.2276
Ene21,0.2207
Feb21,0.1737
Mar21,0.25
Abr21,0.249
May21,0.25
Jun21,0.25
Jul21,0.25
Ago21,0.4879
Sep21,0.7745
Oct21,1.2916
Nov21,1.7181
Dic21,2.2519
Ene22,2.9861
Feb22,3.3511
Mar22,3.8782
Abr22,4.4543
May22,4.8926
Jun22,5.2778
Jul22,5.8918
Ago22,6.2823
Sep22,6.6726
Oct22,6.9748
Nov22,7.1999
Dic22,7.4533
Ene23,7.6413
Feb23,7.7612
Mar23,7.7382
Abr23,7.7459
May23,7.746
Jun23,7.7164
Jul23,7.7481
Ago23,7.7452
Sep23,7.6024
Oct23,7.2814
Nov23,7.0889
Dic23,6.858
Ene24,6.601
Feb24,6.3599
Mar24,6.2368
Abr24,6.0761
May24,5.8595
Jun24,5.7409
Jul24,5.7126
Ago24,5.5272
Sep24,5.3487
Oct24,5.2319
Nov24,5.0847
Dic24,4.946
